,imdb,engagement,monster_gender,motive,zoinks,jinkies,monster_name,culprit_gender
3,7.8,426.0,Male,Natural Resource,2.0,0.0,Miner 49'er,Male
4,7.5,391.0,Female,Competition,0.0,0.0,Indian Witch Doctor,Male
5,8.4,384.0,Male,Extortion,2.0,0.0,Ghost of Elias Kingston,Male
6,7.6,358.0,Male,Competition,1.0,0.0,Ape Man,Male
7,8.2,358.0,Male,Safety,0.0,0.0,Charlie the Robot,Female
8,8.1,371.0,Male,Counterfeit,0.0,0.0,Puppet Master,Male
9,8.0,346.0,Male,Competition,0.0,0.0,Ghost Clown,Male
10,8.5,379.0,"Male,Male,Male",Treasure,0.0,0.0,"Werewolf,Dracula,Frankenstein's Monster",Male
11,8.2,358.0,Male,Theft,6.0,0.0,Mummy of Ankha,Male
12,8.4,356.0,"Male,Female",Theft,3.0,0.0,"Zombie,Witch","Male,Male"
13,8.1,331.0,Male,Theft,5.0,0.0,Ghost of Redbeard,Male
14,8.4,372.0,Male,Competition,8.0,0.0,Spooky Space Kook,Male
15,8.7,403.0,"Male,Male",Inheritance,3.0,0.0,"Green Ghost,Green Ghost","Male,Male"
16,8.0,328.0,Male,Theft,4.0,0.0,Snow Ghost,Male
17,8.3,322.0,Male,Theft,3.0,0.0,Ghost of Mr. Hyde,Male
18,7.8,312.0,"Male,Male,Male",Smuggling,3.0,0.0,"Ghost of Zen Tuo,Scare Pair,Scare Pair",Male
19,7.7,301.0,Male,Theft,7.0,0.0,Caveman,Male
20,8.5,347.0,Male,Theft,7.0,0.0,Creeper,Male
21,8.4,303.0,Male,Treasure,0.0,0.0,Headless Specter,Male
22,7.9,292.0,"Female,Male",Theft,6.0,0.0,"Witch Doctor,Mano Tiki Tia",Male
23,8.2,292.0,Male,Smuggling,0.0,0.0,Werewolf,Male
24,7.9,282.0,Male,Theft,4.0,0.0,Wax Phantom,Male
25,6.9,138.0,"Male,Male,Male,Male,None",Natural Resource,1.0,0.0,"Giant Bat,Geronimo,Gunslinger,Robot Gunslinger,Cactus","Male,Male"
26,7.8,232.0,"Male,Male",Counterfeit,3.0,0.0,"Hooded Man,Skeletons",Female
27,7.9,119.0,Female,Safety,0.0,0.0,The Vulture,"Male,Female"
28,7.9,116.0,Male,Treasure,9.0,1.0,Scarecrow,Male
29,7.9,111.0,"Male,Male",Inheritance,0.0,0.0,"Ghost of Captain Moody,Ghost of Captain Moody","Male,Male"
30,7.7,88.0,"Male,Male,Male",Theft,1.0,1.0,"The Gargoyle,Phantoms,Phantoms",Male
31,7.8,90.0,"Male,Male,Male,Male,Male,Male,Male,Male,Male",Preservation,0.0,1.0,"Ghost,Sheik,Mummy,Pirate,Dragon,Wolfman,Grizzly Bear,Indian,Mr. Hyde",Male
32,8.5,109.0,"Male,Male",Treasure,1.0,0.0,"Shark Men,Shark Men",Male
33,7.7,96.0,"Male,Female,Male,Male,Male,Male,Male",Theft,0.0,1.0,"Skeleton Man,Lady Ghost,3-Eyed Spook,Giant,Brontosaurus,Headless Horsemen of Sleepy Hollow,Skeleton Stage Driver",Male
34,8.3,118.0,Male,Theft,0.0,1.0,The Ghost of Bigfoot,Male
35,7.6,86.0,Male,Competition,1.0,0.0,Ghost of the Red Baron,Male
36,7.4,90.0,"Male,Male,Male,Male",Natural Resource,0.0,1.0,"Ghost of Redbeard,Ghost of Redbeard's crew,Ghost of Redbeard's crew,Ghost of Redbeard's crew",Male
37,7.8,86.0,"Male,Male",Competition,1.0,1.0,"Haunted Horseman,Moat Monster","Male,Male"
38,7.6,81.0,"Male,Male",Theft,1.0,0.0,"Possessed Viking Mannequin,Possessed Davy Crockett Mannequin","Female,Male"
39,7.2,183.0,"Male,Male",Theft,5.0,1.0,"Dryad,Troll","Male,Male"
