,imdb,engagement,monster_gender,motive
3,7.8,426.0,Male,Natural Resource
4,7.5,391.0,Female,Competition
5,8.4,384.0,Male,Extortion
6,7.6,358.0,Male,Competition
7,8.2,358.0,Male,Safety
8,8.1,371.0,Male,Counterfeit
9,8.0,346.0,Male,Competition
10,8.5,379.0,"Male,Male,Male",Treasure
11,8.2,358.0,Male,Theft
12,8.4,356.0,"Male,Female",Theft
13,8.1,331.0,Male,Theft
14,8.4,372.0,Male,Competition
15,8.7,403.0,"Male,Male",Inheritance
16,8.0,328.0,Male,Theft
17,8.3,322.0,Male,Theft
18,7.8,312.0,"Male,Male,Male",Smuggling
19,7.7,301.0,Male,Theft
20,8.5,347.0,Male,Theft
21,8.4,303.0,Male,Treasure
22,7.9,292.0,"Female,Male",Theft
23,8.2,292.0,Male,Smuggling
24,7.9,282.0,Male,Theft
25,6.9,138.0,"Male,Male,Male,Male,None",Natural Resource
26,7.8,232.0,"Male,Male",Counterfeit
27,7.9,119.0,Female,Safety
28,7.9,116.0,Male,Treasure
29,7.9,111.0,"Male,Male",Inheritance
30,7.7,88.0,"Male,Male,Male",Theft
31,7.8,90.0,"Male,Male,Male,Male,Male,Male,Male,Male,Male",Preservation
32,8.5,109.0,"Male,Male",Treasure
33,7.7,96.0,"Male,Female,Male,Male,Male,Male,Male",Theft
34,8.3,118.0,Male,Theft
35,7.6,86.0,Male,Competition
36,7.4,90.0,"Male,Male,Male,Male",Natural Resource
37,7.8,86.0,"Male,Male",Competition
38,7.6,81.0,"Male,Male",Theft
39,7.2,183.0,"Male,Male",Theft
40,7.9,114.0,"Male,Male,Male,Male",Treasure
41,7.4,103.0,"Male,Male,Male",Competition
42,7.9,82.0,"Male,Male",Counterfeit
43,7.5,82.0,Male,Competition
44,7.4,73.0,Male,Competition
45,7.6,85.0,"Male,Male,Male,Male,Male,Male,Male,Male",Competition
46,7.3,91.0,"Male,Male,Male,Male",Competition
47,7.8,104.0,"Male,Male",Smuggling
48,7.6,92.0,Male,Competition
49,7.6,112.0,"Male,Female",Theft
50,7.2,12.0,"Male,Male",Theft
51,7.4,97.0,"Male,Male",Treasure
52,7.5,95.0,Male,Competition
53,8.0,101.0,Male,Competition
54,8.0,127.0,Male,Theft
55,7.6,93.0,"Male,Male",Theft
56,8.2,99.0,Male,Smuggling
57,7.7,91.0,"Male,Male",Theft
58,7.0,81.0,"Male,Female,Male",Extortion
59,7.4,84.0,Male,Theft
60,6.3,7.0,Male,Theft
61,6.8,84.0,"Male,Male,Male",Theft
62,7.2,80.0,Male,Smuggling
63,7.3,77.0,"Male,Male,Male",Treasure
64,6.8,75.0,Male,Competition
65,7.7,84.0,"Male,Male,Male",Theft
66,7.5,81.0,"Male,Male,Male",Counterfeit
67,7.4,71.0,"Male,Male,Male",Natural Resource
68,8.2,104.0,Male,Competition
69,7.4,76.0,Male,Theft
70,7.9,77.0,Male,Competition
71,7.4,75.0,Male,Theft
72,8.1,78.0,"Female,Male,",Smuggling
73,7.7,78.0,Male,Theft
74,7.4,71.0,"Male,Male",Smuggling
75,7.5,96.0,"Male,Male,Male",Smuggling
76,7.3,101.0,"Male,Male,Male",Theft
77,7.1,98.0,Male,Natural Resource
78,8.0,107.0,Female,Inheritance
79,7.6,92.0,Male,Treasure
80,7.7,90.0,"Male,Female",Smuggling
81,7.7,80.0,Male,Smuggling
82,7.2,91.0,Male,Natural Resource
83,8.0,88.0,Male,Theft
84,7.5,80.0,Male,Natural Resource
85,7.5,84.0,Male,Smuggling
86,7.5,85.0,Male,Theft
87,7.5,92.0,Male,Treasure
88,7.2,83.0,Male,Treasure
89,6.8,84.0,"Male,Male",Competition
90,7.1,84.0,Male,Smuggling
91,7.6,67.0,Male,Competition
92,7.6,59.0,Male,Theft
93,7.6,54.0,Male,Smuggling
94,7.4,55.0,Male,Competition
95,7.5,51.0,"Male,Male",Smuggling
96,7.4,51.0,Male,Natural Resource
97,7.5,51.0,Male,Theft
98,7.3,53.0,Male,Treasure
99,7.6,47.0,Male,Treasure
100,8.0,52.0,Female,Theft
101,7.2,48.0,Male,Theft
102,7.7,52.0,Male,Theft
103,7.5,48.0,Male,Treasure
104,7.3,47.0,Male,Theft
105,7.5,46.0,Male,Treasure
106,7.2,45.0,Male,Theft
107,6.9,36.0,"Male,Male,Male,Male",Treasure
108,8.0,47.0,Male,Theft
109,7.3,68.0,Male,Counterfeit
110,7.5,58.0,Male,Theft
111,8.0,55.0,Male,Theft
112,7.5,61.0,Male,Competition
113,7.4,44.0,Male,Competition
114,7.6,50.0,Male,Theft
115,7.8,44.0,Male,Natural Resource
116,7.7,47.0,Male,Theft
117,7.0,47.0,Male,Smuggling
118,7.5,53.0,Male,Competition
119,6.9,46.0,Male,Competition
120,7.2,44.0,Male,Theft
121,7.5,45.0,Male,Theft
122,7.7,43.0,Male,Theft
123,7.7,43.0,Male,Theft
124,7.8,43.0,Male,Theft
125,7.5,38.0,Male,Smuggling
126,7.6,42.0,Male,Competition
127,7.7,40.0,Male,Competition
128,7.8,38.0,Male,Competition
129,7.1,37.0,Male,Assistance
130,7.1,37.0,Male,Competition
131,6.9,35.0,Male,Competition
132,7.2,38.0,Male,Competition
133,7.2,40.0,Male,Treasure
134,6.6,37.0,Female,Theft
135,7.2,32.0,Male,Competition
136,8.4,148.0,Male,Trespassing
137,7.4,390.0,"Male,Male",Entertainment
140,7.2,256.0,"Male,Male,Male",Competition
142,8.1,133.0,Male,Competition
143,7.5,176.0,Male,Competition
144,7.4,150.0,Male,Natural Resource
145,7.6,151.0,Male,Competition
146,7.7,142.0,"Male,Male",Competition
147,7.6,144.0,Female,Competition
148,7.5,125.0,Male,Competition
149,7.7,133.0,Male,Competition
150,7.1,130.0,Male,Smuggling
151,7.1,122.0,Female,Preservation
152,7.5,137.0,Male,Treasure
153,7.7,122.0,"Male,Female,Male",Treasure
154,7.5,115.0,Male,Competition
155,7.1,110.0,Male,Competition
157,7.3,110.0,Male,Competition
158,7.2,112.0,"Male,Male",Competition
159,7.6,102.0,"Male,Male,Male,Female,Male,Male,Female,Female",Competition
160,7.4,104.0,Male,Competition
162,7.4,105.0,Male,Competition
163,7.6,129.0,"Male,Male",Competition
