imdb,date_aired,format,engagement
8.1,1969-09-13,TV Series,556.0
8.1,1969-09-20,TV Series,479.0
8.0,1969-09-27,TV Series,455.0
7.8,1969-10-04,TV Series,426.0
7.5,1969-10-11,TV Series,391.0
8.4,1969-10-18,TV Series,384.0
7.6,1969-10-25,TV Series,358.0
8.2,1969-11-01,TV Series,358.0
8.1,1969-11-08,TV Series,371.0
8.0,1969-11-15,TV Series,346.0
8.5,1969-11-22,TV Series,379.0
8.2,1969-11-29,TV Series,358.0
8.4,1969-12-06,TV Series,356.0
8.1,1969-12-13,TV Series,331.0
8.4,1969-12-20,TV Series,372.0
8.7,1970-01-10,TV Series,403.0
8.0,1970-01-17,TV Series,328.0
8.3,1970-09-12,TV Series,322.0
7.8,1970-09-19,TV Series,312.0
7.7,1970-09-26,TV Series,301.0
8.5,1970-10-03,TV Series,347.0
8.4,1970-10-10,TV Series,303.0
7.9,1970-10-17,TV Series,292.0
8.2,1970-10-24,TV Series,292.0
7.9,1970-10-31,TV Series,282.0
6.9,1972-09-09,TV Series,138.0
7.8,1972-09-16,TV Series,232.0
7.9,1972-09-23,TV Series,119.0
7.9,1972-09-30,TV Series,116.0
7.9,1972-10-07,TV Series,111.0
7.7,1972-10-14,TV Series,88.0
7.8,1972-10-21,TV Series,90.0
8.5,1972-10-28,TV Series,109.0
7.7,1972-11-04,TV Series,96.0
8.3,1972-11-11,TV Series,118.0
7.6,1972-11-18,TV Series,86.0
7.4,1972-11-25,TV Series,90.0
7.8,1972-12-02,TV Series,86.0
7.6,1972-12-09,TV Series,81.0
7.2,1972-12-16,TV Series,183.0
7.9,1972-12-23,TV Series,114.0
7.4,1973-09-08,TV Series,103.0
7.9,1973-09-15,TV Series,82.0
7.5,1973-09-22,TV Series,82.0
7.4,1973-09-29,TV Series,73.0
7.6,1973-10-06,TV Series,85.0
7.3,1973-10-13,TV Series,91.0
7.8,1973-10-20,TV Series,104.0
7.6,1973-10-27,TV Series,92.0
7.6,1976-09-11,TV Series,112.0
7.2,1976-09-11,Crossover,12.0
7.4,1976-09-18,TV Series,97.0
6.9,1976-09-18,Crossover,11.0
7.5,1976-09-25,TV Series,95.0
8.0,1976-10-02,TV Series,101.0
8.0,1976-10-09,TV Series,127.0
7.6,1976-10-16,TV Series,93.0
8.2,1976-10-23,TV Series,99.0
7.7,1976-10-30,TV Series,91.0
7.0,1976-11-06,TV Series,81.0
7.4,1976-11-13,TV Series,84.0
6.3,1976-11-13,Crossover,7.0
6.8,1976-11-20,TV Series,84.0
7.2,1976-11-25,TV Series,80.0
7.3,1976-11-27,TV Series,77.0
6.8,1976-12-04,TV Series,75.0
7.7,1976-12-11,TV Series,84.0
7.5,1976-12-18,TV Series,81.0
7.4,1977-09-10,TV Series,71.0
6.9,1977-09-10,TV Series (segmented),25.0
6.9,1977-09-10,TV Series (segmented),25.0
8.2,1977-09-17,TV Series,104.0
6.3,1977-09-17,TV Series (segmented),23.0
6.3,1977-09-17,TV Series (segmented),23.0
7.4,1977-09-24,TV Series,76.0
7.1,1977-09-24,TV Series (segmented),22.0
7.1,1977-09-24,TV Series (segmented),22.0
7.9,1977-10-01,TV Series,77.0
7.2,1977-10-01,TV Series (segmented),21.0
7.2,1977-10-01,TV Series (segmented),21.0
7.4,1977-10-08,TV Series,75.0
6.8,1977-10-08,TV Series (segmented),19.0
6.8,1977-10-08,TV Series (segmented),19.0
8.1,1977-10-15,TV Series,78.0
6.8,1977-10-15,TV Series (segmented),19.0
6.8,1977-10-15,TV Series (segmented),19.0
7.7,1977-10-22,TV Series,78.0
6.6,1977-10-22,TV Series (segmented),18.0
6.6,1977-10-22,TV Series (segmented),18.0
7.4,1977-10-29,TV Series,71.0
6.4,1977-10-29,TV Series (segmented),18.0
6.4,1977-10-29,TV Series (segmented),18.0
6.0,1977-11-05,TV Series (segmented),22.0
6.0,1977-11-05,TV Series (segmented),22.0
6.7,1977-11-12,TV Series (segmented),23.0
6.7,1977-11-12,TV Series (segmented),23.0
6.4,1977-11-19,TV Series (segmented),20.0
6.4,1977-11-19,TV Series (segmented),20.0
6.3,1977-11-26,TV Series (segmented),22.0
6.3,1977-11-26,TV Series (segmented),22.0
6.9,1977-12-03,TV Series (segmented),18.0
6.9,1977-12-03,TV Series (segmented),18.0
6.8,1977-12-10,TV Series (segmented),18.0
6.8,1977-12-10,TV Series (segmented),18.0
6.9,1977-12-17,TV Series (segmented),18.0
6.9,1977-12-17,TV Series (segmented),18.0
7.0,1977-12-24,TV Series (segmented),21.0
7.0,1977-12-24,TV Series (segmented),21.0
7.5,1978-09-09,TV Series,96.0
6.7,1978-09-09,TV Series (segmented),13.0
6.7,1978-09-09,TV Series (segmented),13.0
7.3,1978-09-16,TV Series,101.0
6.9,1978-09-16,TV Series (segmented),15.0
6.9,1978-09-16,TV Series (segmented),15.0
7.1,1978-09-23,TV Series,98.0
6.6,1978-09-23,TV Series (segmented),15.0
6.6,1978-09-23,TV Series (segmented),15.0
8.0,1978-09-30,TV Series,107.0
6.6,1978-09-30,TV Series (segmented),16.0
6.6,1978-09-30,TV Series (segmented),16.0
7.6,1978-10-07,TV Series,92.0
6.5,1978-10-07,TV Series (segmented),15.0
