index,gender,medal,athlete,abb,type,year
0,Men,Gold,LARSEN Finn,DEN,Archery,1980
1,Men,Silver,BRENNE Manfred,FRG,Archery,1980
2,Men,Bronze,SATO Masao,JPN,Archery,1980
3,Men,Gold,GEISS H.,FRG,Archery,1980
4,Men,Silver,GRUN Guy,BEL,Archery,1980
5,Men,Bronze,BUCHANAN J.,GBR,Archery,1980
6,Men,Gold,PARKER T.,CAN,Archery,1980
7,Men,Silver,STEBEKK Oddbjorn,NOR,Archery,1980
8,Men,Bronze,LAFONT G.,FRA,Archery,1980
9,Men,Gold,CHAVEZ Alfredo,MEX,Archery,1980
10,Men,Silver,WALSTRA Jappie,NED,Archery,1980
11,Men,Bronze,VAN DER LIEFVOORT H.,NED,Archery,1980
12,Men,Gold,KARKAINEN K.,FIN,Archery,1980
13,Men,Silver,KISHINO Tadashi,JPN,Archery,1980
14,Men,Bronze,ANDERSSON-TANNERSTAD Kent,SWE,Archery,1980
15,Men,Gold,CHAPUIS J. M.,FRA,Archery,1980
16,Men,Silver,ZEISE L.,USA,Archery,1980
17,Men,Bronze,THION J.,FRA,Archery,1980
18,Men,Gold,HENKER Siegmar,FRG,Archery,1980
19,Men,Silver,TREWHELLA Ian,AUS,Archery,1980
20,Men,Bronze,KRISTIANSEN Svein,NOR,Archery,1980
21,Men,Gold,KIM Yoon Bae,KOR,Archery,1980
22,Men,Silver,PETSCHNIG M.,AUT,Archery,1980
23,Men,Bronze,LETTNER Felix,AUT,Archery,1980
24,Women,Gold,ROSVIK Marie,NOR,Archery,1980
25,Women,Silver,KWIECINSKA Ewa,POL,Archery,1980
26,Women,Bronze,HYBOIS Marie-Francoise,FRA,Archery,1980
27,Women,Gold,FAIRHALL Neroli,NZL,Archery,1980
28,Women,Silver,KORVA Elli,FIN,Archery,1980
29,Women,Bronze,DERSEN Anneliese,FRG,Archery,1980
30,Women,Gold,OHMAE Chiyoko,JPN,Archery,1980
31,Women,Silver,-,,Archery,1980
32,Women,Bronze,-,,Archery,1980
33,Women,Gold,SCHWEIZER Rosa,AUT,Archery,1980
34,Women,Silver,WILLIAMSON Valerie,GBR,Archery,1980
35,Women,Bronze,-,,Archery,1980
36,Women,Gold,UNSICKER K.,USA,Archery,1980
37,Women,Silver,RIMMER Eve M.,NZL,Archery,1980
