index,network,title,imdb,engagement,format,monster_gender,motive
1,CBS,What a Night for a Knight,8.1,556.0,TV Series,Male,Theft
2,CBS,A Clue for Scooby Doo,8.1,479.0,TV Series,Male,Theft
3,CBS,Hassle in the Castle,8.0,455.0,TV Series,Male,Treasure
4,CBS,Mine Your Own Business,7.8,426.0,TV Series,Male,Natural Resource
5,CBS,Decoy for a Dognapper,7.5,391.0,TV Series,Female,Competition
6,CBS,What the Hex Going On?,8.4,384.0,TV Series,Male,Extortion
7,CBS,Never Ape an Ape Man,7.6,358.0,TV Series,Male,Competition
8,CBS,Foul Play in Funland,8.2,358.0,TV Series,Male,Safety
9,CBS,The Backstage Rage,8.1,371.0,TV Series,Male,Counterfeit
10,CBS,Bedlam in the Big Top,8.0,346.0,TV Series,Male,Competition
11,CBS,A Gaggle of Galloping Ghosts,8.5,379.0,TV Series,Male,Treasure
12,CBS,"Scooby-Doo and a Mummy, Too",8.2,358.0,TV Series,Male,Theft
13,CBS,Go Away Ghost Ship,8.1,331.0,TV Series,Male,Theft
14,CBS,Spooky Space Kook,8.4,372.0,TV Series,Male,Competition
15,CBS,A Night of Fright Is No Delight,8.7,403.0,TV Series,Male,Inheritance
16,CBS,That's Snow Ghost,8.0,328.0,TV Series,Male,Theft
17,CBS,Nowhere to Hyde,8.3,322.0,TV Series,Male,Theft
18,CBS,Mystery Mask Mix-Up,7.8,312.0,TV Series,Male,Smuggling
19,CBS,Scooby's Night with a Frozen Fright,7.7,301.0,TV Series,Male,Theft
20,CBS,"Jeepers, It's the Creeper",8.5,347.0,TV Series,Male,Theft
21,CBS,Haunted House Hang-Up,8.4,303.0,TV Series,Male,Treasure
22,CBS,Who's Afraid of the Big Bad Werewolf?,8.2,292.0,TV Series,Male,Smuggling
23,CBS,Don't Fool with a Phantom,7.9,282.0,TV Series,Male,Theft
24,CBS,The Dynamic Scooby-Doo Affair,7.8,232.0,TV Series,Male,Counterfeit
25,CBS,Wednesday Is Missing,7.9,119.0,TV Series,Female,Safety
26,CBS,The Frickert Fracas,7.9,116.0,TV Series,Male,Treasure
27,CBS,Guess Who's Knott Coming to Dinner?,7.9,111.0,TV Series,Male,Inheritance
28,CBS,A Good Medium Is Rare,7.7,88.0,TV Series,Male,Theft
29,CBS,Sandy Duncan's Jekyll and Hyde,7.8,90.0,TV Series,Male,Preservation
30,CBS,The Secret of Shark Island,8.5,109.0,TV Series,Male,Treasure
31,CBS,The Ghost of Bigfoot,8.3,118.0,TV Series,Male,Theft
32,CBS,The Ghost of the Red Baron,7.6,86.0,TV Series,Male,Competition
