index,network,title,imdb,engagement,date_aired,format,monster_gender,motive,fred_va,daphnie_va,velma_va,shaggy_va,scooby_va
1,CBS,What a Night for a Knight,8.1,556.0,1969-09-13,TV Series,Male,Theft,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
2,CBS,A Clue for Scooby Doo,8.1,479.0,1969-09-20,TV Series,Male,Theft,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
3,CBS,Hassle in the Castle,8.0,455.0,1969-09-27,TV Series,Male,Treasure,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
4,CBS,Mine Your Own Business,7.8,426.0,1969-10-04,TV Series,Male,Natural Resource,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
5,CBS,Decoy for a Dognapper,7.5,391.0,1969-10-11,TV Series,Female,Competition,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
6,CBS,What the Hex Going On?,8.4,384.0,1969-10-18,TV Series,Male,Extortion,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
7,CBS,Never Ape an Ape Man,7.6,358.0,1969-10-25,TV Series,Male,Competition,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
8,CBS,Foul Play in Funland,8.2,358.0,1969-11-01,TV Series,Male,Safety,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
9,CBS,The Backstage Rage,8.1,371.0,1969-11-08,TV Series,Male,Counterfeit,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
10,CBS,Bedlam in the Big Top,8.0,346.0,1969-11-15,TV Series,Male,Competition,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
11,CBS,A Gaggle of Galloping Ghosts,8.5,379.0,1969-11-22,TV Series,Male,Treasure,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
12,CBS,"Scooby-Doo and a Mummy, Too",8.2,358.0,1969-11-29,TV Series,Male,Theft,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
14,CBS,Go Away Ghost Ship,8.1,331.0,1969-12-13,TV Series,Male,Theft,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
15,CBS,Spooky Space Kook,8.4,372.0,1969-12-20,TV Series,Male,Competition,Frank Welker,Stefanianna Christopherson,Nicole Jaffe,Casey Kasem,Don Messick
