index,series_name,network,imdb,engagement,date_aired,run_time,format,monster_name,monster_gender,monster_type,monster_species,monster_real,monster_amount,suspects_amount,arrested,culprit_gender,culprit_amount,motive,split_up,another_mystery,set_a_trap,jeepers,jinkies,my_glasses,just_about_wrapped_up,zoinks,groovy,scooby_doo_where_are_you,rooby_rooby_roo
1,"Scooby Doo, Where Are You!",CBS,8.1,556.0,1969-09-13,21,TV Series,Black Knight,Male,Possessed Object,Object,False,1,2,True,Male,1,Theft,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2,"Scooby Doo, Where Are You!",CBS,8.1,479.0,1969-09-20,22,TV Series,Ghost of Cptn. Cuttler,Male,Ghost,Human,False,1,2,True,Male,1,Theft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
3,"Scooby Doo, Where Are You!",CBS,8.0,455.0,1969-09-27,21,TV Series,Phantom,Male,Ghost,Human,False,1,0,True,Male,1,Treasure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
4,"Scooby Doo, Where Are You!",CBS,7.8,426.0,1969-10-04,21,TV Series,Miner 49'er,Male,Ancient,Human,False,1,2,True,Male,1,Natural Resource,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
5,"Scooby Doo, Where Are You!",CBS,7.5,391.0,1969-10-11,21,TV Series,Indian Witch Doctor,Female,Ancient,Human,False,1,1,True,Male,1,Competition,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
6,"Scooby Doo, Where Are You!",CBS,8.4,384.0,1969-10-18,21,TV Series,Ghost of Elias Kingston,Male,Ghost,Human,False,1,2,True,Male,1,Extortion,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
7,"Scooby Doo, Where Are You!",CBS,7.6,358.0,1969-10-25,21,TV Series,Ape Man,Male,Animal,Ape,False,1,1,True,Male,1,Competition,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
8,"Scooby Doo, Where Are You!",CBS,8.2,358.0,1969-11-01,21,TV Series,Charlie the Robot,Male,Mechanical,Robot,False,1,2,False,Female,1,Safety,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
9,"Scooby Doo, Where Are You!",CBS,8.1,371.0,1969-11-08,21,TV Series,Puppet Master,Male,Ghost,Human,False,1,1,True,Male,1,Counterfeit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,"Scooby Doo, Where Are You!",CBS,8.0,346.0,1969-11-15,21,TV Series,Ghost Clown,Male,Ghost,Human,False,1,1,True,Male,1,Competition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
