Sno,index,network,title,imdb,engagement,format,monster_gender,motive
0,1,CBS,What a Night for a Knight,8.1,556.0,TV Series,Male,Theft
1,2,CBS,A Clue for Scooby Doo,8.1,479.0,TV Series,Male,Theft
2,3,CBS,Hassle in the Castle,8.0,455.0,TV Series,Male,Treasure
3,4,CBS,Mine Your Own Business,7.8,426.0,TV Series,Male,Natural Resource
4,5,CBS,Decoy for a Dognapper,7.5,391.0,TV Series,Female,Competition
5,6,CBS,What the Hex Going On?,8.4,384.0,TV Series,Male,Extortion
6,7,CBS,Never Ape an Ape Man,7.6,358.0,TV Series,Male,Competition
7,8,CBS,Foul Play in Funland,8.2,358.0,TV Series,Male,Safety
8,9,CBS,The Backstage Rage,8.1,371.0,TV Series,Male,Counterfeit
9,10,CBS,Bedlam in the Big Top,8.0,346.0,TV Series,Male,Competition
10,11,CBS,A Gaggle of Galloping Ghosts,8.5,379.0,TV Series,Male,Treasure
11,12,CBS,"Scooby-Doo and a Mummy, Too",8.2,358.0,TV Series,Male,Theft
12,14,CBS,Go Away Ghost Ship,8.1,331.0,TV Series,Male,Theft
13,15,CBS,Spooky Space Kook,8.4,372.0,TV Series,Male,Competition
14,16,CBS,A Night of Fright Is No Delight,8.7,403.0,TV Series,Male,Inheritance
15,17,CBS,That's Snow Ghost,8.0,328.0,TV Series,Male,Theft
16,18,CBS,Nowhere to Hyde,8.3,322.0,TV Series,Male,Theft
17,19,CBS,Mystery Mask Mix-Up,7.8,312.0,TV Series,Male,Smuggling
18,20,CBS,Scooby's Night with a Frozen Fright,7.7,301.0,TV Series,Male,Theft
19,21,CBS,"Jeepers, It's the Creeper",8.5,347.0,TV Series,Male,Theft
20,22,CBS,Haunted House Hang-Up,8.4,303.0,TV Series,Male,Treasure
21,24,CBS,Who's Afraid of the Big Bad Werewolf?,8.2,292.0,TV Series,Male,Smuggling
22,25,CBS,Don't Fool with a Phantom,7.9,282.0,TV Series,Male,Theft
23,27,CBS,The Dynamic Scooby-Doo Affair,7.8,232.0,TV Series,Male,Counterfeit
24,28,CBS,Wednesday Is Missing,7.9,119.0,TV Series,Female,Safety
25,29,CBS,The Frickert Fracas,7.9,116.0,TV Series,Male,Treasure
26,30,CBS,Guess Who's Knott Coming to Dinner?,7.9,111.0,TV Series,Male,Inheritance
27,31,CBS,A Good Medium Is Rare,7.7,88.0,TV Series,Male,Theft
28,32,CBS,Sandy Duncan's Jekyll and Hyde,7.8,90.0,TV Series,Male,Preservation
29,33,CBS,The Secret of Shark Island,8.5,109.0,TV Series,Male,Treasure
30,35,CBS,The Ghost of Bigfoot,8.3,118.0,TV Series,Male,Theft
31,36,CBS,The Ghost of the Red Baron,7.6,86.0,TV Series,Male,Competition
